date,label,daily_pnl_usd,tp_hit,sl_hit,trades_count,anchor_price_10am,atr14_m5,atr_ratio_20d,morning_range_pts,morning_trend_pts,directional_intensity,range_to_atr_ratio,trend_to_atr_ratio,morning_vol_std,day_of_week
2022-11-10,trade,11.12,True,False,1,1708.568,1.112,1.177,5.11,2.021,0.395,4.594,1.817,0.199,3
2022-11-11,trade,12.71,True,False,1,1752.577,1.271,1.331,7.42,1.49,0.201,5.84,1.173,0.225,4
2022-11-14,trade,12.68,True,False,1,1762.978,1.268,1.289,5.849,2.939,0.502,4.613,2.318,0.258,0
2022-11-15,trade,10.27,True,False,1,1770.808,1.027,1.042,5.25,0.791,0.151,5.111,0.77,0.194,1
2022-11-16,skip,-79.54,False,False,5,1776.667,1.176,1.168,7.82,0.76,0.097,6.649,0.646,0.214,2
2022-11-17,skip,-88.88,False,False,4,1767.297,1.099,1.091,8.37,6.35,0.759,7.617,5.779,0.163,3
2022-11-18,trade,9.42,True,False,1,1762.577,0.942,0.925,5.191,2.439,0.47,5.511,2.589,0.164,4
2022-11-21,trade,9.35,False,False,3,1744.187,0.906,0.895,9.15,5.63,0.615,10.096,6.212,0.182,0
2022-11-22,trade,8.74,True,False,1,1743.187,0.874,0.863,7.641,5.299,0.693,8.745,6.065,0.16,1
2022-11-23,skip,-256.69,False,False,9,1741.498,0.866,0.852,3.94,2.141,0.543,4.552,2.474,0.137,2
2022-11-24,trade,7.6,True,False,1,1754.958,0.76,0.756,7.27,5.631,0.775,9.568,7.411,0.15,3
2022-11-25,trade,7.9,True,False,1,1758.508,0.79,0.796,7.061,3.71,0.525,8.936,4.695,0.165,4
2022-11-28,trade,10.42,True,False,1,1750.138,1.042,1.042,9.9,5.649,0.571,9.504,5.423,0.218,0
2022-11-29,skip,-367.52,False,False,10,1744.667,0.914,0.915,7.99,4.539,0.568,8.744,4.967,0.153,1
2022-11-30,trade,9.64,True,False,1,1753.128,0.964,0.963,6.49,3.721,0.573,6.729,3.858,0.157,2
2022-12-01,skip,-122.09,False,False,4,1773.317,1.363,1.331,12.141,4.699,0.387,8.904,3.446,0.185,3
2022-12-02,trade,9.05,True,False,1,1797.867,0.905,0.887,8.91,4.33,0.486,9.85,4.787,0.157,4
2022-12-05,trade,2.88,False,False,2,1806.737,1.17,1.146,13.921,10.8,0.776,11.898,9.23,0.219,0
2022-12-06,trade,70.56,True,False,3,1771.608,1.176,1.133,8.74,3.661,0.419,7.432,3.113,0.204,1
2022-12-07,skip,-20.92,False,False,3,1773.817,1.091,1.053,6.46,3.42,0.529,5.922,3.135,0.186,2
2022-12-08,trade,27.69,True,False,2,1781.768,0.923,0.899,6.62,4.95,0.748,7.172,5.363,0.2,3
2022-12-09,trade,28.59,True,False,2,1793.138,0.953,0.943,7.3,4.511,0.618,7.66,4.733,0.185,4
2022-12-12,trade,9.84,True,False,1,1788.167,0.984,0.987,9.879,7.52,0.761,10.044,7.646,0.157,0
2022-12-13,skip,-37.44,False,False,7,1785.625,0.639,0.654,5.777,5.248,0.908,9.044,8.216,0.11,1
2022-12-14,trade,7.67,True,False,1,1810.608,0.767,0.802,3.877,0.811,0.209,5.055,1.057,0.14,2
2022-12-15,trade,10.35,True,False,1,1793.815,1.035,1.086,15.14,12.782,0.844,14.628,12.35,0.206,3
2022-12-16,skip,-25.32,False,False,3,1781.785,1.088,1.133,8.57,5.438,0.635,7.876,4.998,0.176,4
2022-12-19,trade,28.48,True,False,2,1794.335,0.949,0.986,4.9,2.078,0.424,5.162,2.189,0.156,0
2022-12-20,trade,13.51,True,False,1,1787.435,1.351,1.37,3.493,0.518,0.148,2.585,0.383,0.174,1
2022-12-21,trade,-12.77,False,False,3,1816.335,0.927,0.937,4.08,1.562,0.383,4.401,1.685,0.162,2
2022-12-22,trade,9.46,True,False,1,1818.197,0.946,0.947,6.457,4.72,0.731,6.824,4.988,0.168,3
2022-12-23,trade,9.85,True,False,1,1792.835,0.985,0.977,4.377,0.407,0.093,4.444,0.413,0.17,4
2022-12-27,trade,-0.74,False,False,3,1806.215,0.698,0.704,6.558,6.168,0.941,9.4,8.841,0.157,1
2022-12-28,trade,9.58,True,False,1,1810.925,0.958,0.964,4.91,2.112,0.43,5.127,2.205,0.188,2
